Provider_ID,Provider_Name,Rating
1,United Healthcare,80
2,Blue Cross Blue Shield,70
3,Aetna,65
4,Cigna,75
5,Humana,85
6,Kaiser Permanente,90
7,Anthem,60
8,Molina Healthcare,50
9,WellCare,55
10,Medicaid,95
11,Tricare,88
12,Health Net,67
13,Centene,77
14,Magellan Health,73
15,Guardian Life,82
16,Oscar Health,65
17,Amerigroup,69
18,MetLife,78
19,Independence Blue Cross,86
20,Principal Financial Group,91
21,EmblemHealth,76
22,Coventry Health Care,64
23,Tufts Health Plan,81
24,Highmark,87
25,HealthPartners,79
26,Geisinger Health,83
27,WellPoint,68
28,United Concordia,66
29,BCBS of Massachusetts,85
30,Premera Blue Cross,74